,2015-8-24,http://www.apinpai.com/,我;张国荣;80;励志,  273,1447.1700
417,2015-5-16,http://www.denghuo.com/,firework;katy perry;90;励志,159.0,1616.17
418,2015-12-2,http://www.movie.com/bor/,《紫霞》;2015.12.11;2015.12.27;映代码公司;苗述;徐洁儿，袁晓超，刘承俊，洪天照，刘永健，谭赫，肖红，金晶，谢沅江;爱情，奇幻;票房（万）49.1 ;2.4 ;,,
419,2015-4-5,http://www.jieu.com/,story of my life;bon jovi;90;励志,273.0,964.15
420,2015-4-1,http://www.wanxn.com/,让我们荡起双桨;小蓓蕾组合;90;儿歌,35.0,672.48
421,2015-3-20,http://beijing.faxinxi.cn/,我心是海洋;蔡琴;80;励志,260.0,1207.92
422,2015-12-16,http://www.movie.com/bor/,《天将雄师》;2015.2.19;2015.4.6;耀莱文化，华谊兄弟，上海电影集团;李仁港;成龙，约翰·库萨克，阿德里安·布劳迪，崔始源 ，林鹏，王若心，筷子兄弟，西蒙子，冯绍峰，朱佳煜;动作，古装，剧情，历史;票房（万）74430.2 ;,,
423,2015-7-28,http://www.alifenfen.com/,匿名的好友;杨丞琳;90;伤感,48.0,548.45
424,2015-12-23,http://www.movie.com/dor/,《一念天堂》;2015.12.31;2016.2.13;天河盛宴，凯德盛世（北京）投资管理有限公司，和云筹(北京)网络科技有限公司;张承;沈腾，马丽，林雪，杜晓宇，王子子，李元鹏;喜剧;票房（万）8279.5 ;5.2 ;,,
425,2015-7-23,http://www.wanxn.com/,借过;容祖儿;90;伤感,239.0,1719.43
426,2015-4-14,http://www.alifenfen.com/,拔萝卜;小蓓蕾组合;90;儿歌,100.0,1850.28
427,2015-12-22,http://www.movie.com/bor/,《一路惊喜》;2015.2.6;2015.3.8;万达影视传媒有限公司;金依萌/潘安子/章家瑞/宋迪;郭采洁，萧敬腾，赵丽颖，凤小岳，夏雨，梅婷，蓝燕，林家栋，张译，大鹏，蒋劲夫，孙艺洲，张辛苑，阚清子，刘维，乔杉;喜剧/爱情/家庭;票房（万）6974.6 ;5.0 ;,,
428,2015-6-2,http://www.wanxn.com/,像我一样骄傲;赵传;80;励志,57.0,320.97
429,2015-12-13,http://www.movie.com/dor/,《探灵档案》;2015.3.7;2015.3.22;壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司;彭发;马浴柯，吴昕，潘粤明，王景春，莫小棋，朱雨辰，洪天明，陈国坤，刘颖仪;悬疑，惊悚;票房（万）334.1 ;5.6 ;,,
430,2015-6-4,http://www.denghuo.com/,我;张国荣;80;励志,244.0,544.67
431,2015-7-23,http://www.qiyi123.com/,拔萝卜;小蓓蕾组合;90;儿歌,43.0,1589.57
432,2015-12-28,http://www.movie.com/bor/,《爱之初体验》;2015.8.7;2015.8.23;上海锦瑟天下影视有限公司;海涛;张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦;喜剧/爱情;票房（万）321.7 ;4.7 ;,,
433,2015-12-2,http://www.movie.com/bor/12386／,《坏蛋必须死》;2015.11.27;2015.12.20;北京新力量、华谊兄弟、南京大道行知;孙皓;陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民;喜剧，悬疑，旅行，爱情;票房（万）4705.4 ;6.0 ;,,
434,2015-5-20,http://www.ezxun.com/,匿名的好友;杨丞琳;90;伤感,218.0,253.36
435,2015-4-25,http://www.apinpai.com/,最冷一天;陈奕迅;90;伤感,117.0,1928.44
436,2015-12-7,http://www.movie.com/bor/12386／,《爱之初体验》;2015.8.7;2015.8.23;上海锦瑟天下影视有限公司;海涛;张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦;喜剧/爱情;票房（万）321.7 ;4.7 ;,,
437,2015-5-26,http://www.apinpai.com/,逃脱;李玟;90;伤感,88.0,77.78
438,2015-8-14,http://beijing.hand2hand.cn/,匿名的好友;杨丞琳;90;伤感,56.0,982.42
439,2015-3-22,http://www.mouxiao.com/,一起走过的日子;刘德华;80;伤感,73.0,362.06
440,2015-3-2,http://www.ezxun.com/,路...一直都在;陈奕迅;90;励志,133.0,1084.08
441,2015-5-19,http://beijing.hand2hand.cn/,我;张国荣;80;励志,16.0,1516.18
442,2015-8-30,http://www.denghuo.com/,借过;容祖儿;90;伤感,115.0,243.01
443,2015-5-3,http://www.favolist.com/,firework;katy perry;90;励志,176.0,325.85
444,2015-12-3,http://www.movie.com/dor/,《全能_爸》;2015.3.5;2015.3.22;河南弘星、北京弘星、杭州寰耀;董春泽;罗京民，孙波，于非，马燕，赵丽，卢思佚，米明杰，贾志;亲情励志喜剧;票房（万）83.0 ;,,
445,2015-7-22,http://www.qiyi123.com/,借我;谢春花;90;伤感,163.0,857.67
446,2015-4-8,http://www.qiyi123.com/,匿名的好友;杨丞琳;90;伤感,189.0,803.62
447,2015-4-25,http://www.jieu.com/,借我;谢春花;90;伤感,129.0,1992.08
448,2015-3-29,http://www.jieu.com/,像我一样骄傲;赵传;80;励志,34.0,1347.27
449,2015-5-27,http://www.wuhan58.com/index.php,我;张国荣;80;励志,139.0,164.21
450,2015-7-23,http://bj.454.cn/,同道中人;张国荣;80;励志,258.0,1225.89
451,2015-5-31,http://www.wanxn.com/,给所有知道我名字的人;赵传;80;励志,102.0,1316.17
452,2015-12-11,http://www.movie.com/dor/,《分手再说我爱你》;2015.12.24;2016.1.17;爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司;叶念琛;方力申，邓丽欣;爱情、剧情;票房（万）1273.2 ;6.5 ;,,
453,2015-7-10,http://www.apinpai.com/,the climb;miley cyrus;80;励志,85.0,1017.68
454,2015-6-25,http://www.waaku.com/,my way;张敬轩;90;励志,40.0,198.82
455,2015-12-21,http://www.movie.com/bor/,《前任2：备胎反击战》;2015.11.6;2015.12.20;华谊兄弟传媒股份有限公司、新圣堂影业;田羽生;郑恺，郭采洁，张艺兴，王传君;爱情，喜剧;票房（万）25200.2 ;5.0 ;,,
456,2015-3-5,http://www.mouxiao.com/,给所有知道我名字的人;赵传;80;励志,19.0,1013.6
457,2015-5-31,http://beijing.hand2hand.cn/,story of my life;bon jovi;90;励志,183.0,1425.07
458,2015-5-1,http://www.wuhan58.com/index.php,路...一直都在;陈奕迅;90;励志,285.0,555.96
459,2015-7-24,http://www.mouxiao.com/,太阳星辰;张学友;80;励志,107.0,1882.76
460,2015-6-20,http://www.wuhan58.com/index.php,太阳星辰;张学友;80;励志,251.0,101.15
461,2015-5-1,http://www.99inf.com/,空壳;陈慧敏;90;伤感,136.0,1201.18
462,2015-12-16,http://www.movie.com/dor/,《探灵档案》;2015.3.7;2015.3.22;壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司;彭发;马浴柯，吴昕，潘粤明，王景春，莫小棋，朱雨辰，洪天明，陈国坤，刘颖仪;悬疑，惊悚;票房（万）334.1 ;5.6 ;,,
463,2015-6-27,http://bj.454.cn/,从头再来;刘欢;90;励志,124.0,1410.78
464,2015-4-29,http://www.99inf.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,227.0,505.89
465,2015-7-18,http://www.apinpai.com/,感恩的心;欧阳菲菲;90;励志,203.0,645.64
466,2015-6-3,http://www.wuhan58.com/index.php,加油;林俊杰/mc hotdog;90;励志,84.0,842.93
467,2015-6-3,http://bj.qu114.com/,空壳;陈慧敏;90;伤感,218.0,934.28
468,2015-7-15,http://bj.qu114.com/,一起走过的日子;刘德华;80;伤感,64.0,315.96
469,2015-7-6,http://www.alifenfen.com/,我;张国荣;80;励志,99.0,268.82
470,2015-12-16,http://www.movie.com/bor/12386／,《一念天堂》;2015.12.31;2016.2.13;天河盛宴，凯德盛世（北京）投资管理有限公司，和云筹(北京)网络科技有限公司;张承;沈腾，马丽，林雪，杜晓宇，王子子，李元鹏;喜剧;票房（万）8279.5 ;5.2 ;,,
471,2015-12-8,http://www.movie.com/bor/12386／,《百团大战》;2015.8.28;2015.10.11;八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司;宁海强，张玉中;陶泽如，刘之冰，印小天，吴越，唐国强，王伍福;战争/历史;票房（万）41367.3 ;4.7 ;,,
472,2015-3-26,http://www.favolist.com/,我;张国荣;80;励志,114.0,1617.92
473,2015-4-11,http://www.waaku.com/,最冷一天;陈奕迅;90;伤感,254.0,554.95
474,2015-7-21,http://www.jieu.com/,一起走过的日子;刘德华;80;伤感,157.0,1312.71
475,2015-12-8,http://www.movie.com/bor/,《恶棍天使》;2015.12.24;2016.2.13;天津橙子映像传媒有限公司、北京光线影业有限公司;邓超、俞白眉;邓超，孙俪，梁超，代乐乐;喜剧/荒诞/爱情;票房（万）64959.0 ;4.0 ;,,
476,2015-12-24,http://www.movie.com/dor/,《破风》;2015.8.7;2015.9.13;恒大影视文化有限公司;林超贤;彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯;剧情、运动、爱情;票房（万）14529.1 ;7.2 ;,,
477,2015-3-17,http://www.mouxiao.com/,my way;张敬轩;90;励志,240.0,1421.57
478,2015-6-24,http://info.tianya.cn,加油;林俊杰/mc hotdog;90;励志,191.0,1135.37
479,2015-6-8,http://bj.454.cn/,借过;容祖儿;90;伤感,100.0,622.71
480,2015-7-7,http://www.apinpai.com/,story of my life;bon jovi;90;励志,123.0,573.65
481,2015-4-1,http://www.alifenfen.com/,story of my life;bon jovi;90;励志,135.0,1009.18
482,2015-12-25,http://www.movie.com/dor/,《破风》;2015.8.7;2015.9.13;恒大影视文化有限公司;林超贤;彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯;剧情、运动、爱情;票房（万）14529.1 ;7.2 ;,,
483,2015-6-21,http://www.alifenfen.com/,最冷一天;陈奕迅;90;伤感,261.0,104.12
484,2015-6-5,http://www.ezxun.com/,最冷一天;陈奕迅;90;伤感,186.0,1798.53
485,2015-8-4,http://bj.qu114.com/,story of my life;bon jovi;90;励志,26.0,1455.94
486,2015-12-6,http://www.movie.com/bor/,《恶棍天使》;2015.12.24;2016.2.13;天津橙子映像传媒有限公司、北京光线影业有限公司;邓超、俞白眉;邓超，孙俪，梁超，代乐乐;喜剧/荒诞/爱情;票房（万）64959.0 ;4.0 ;,,
487,2015-7-10,http://www.99inf.com/,firework;katy perry;90;励志,184.0,657.38
488,2015-12-17,http://www.movie.com/bor/,《一路惊喜》;2015.2.6;2015.3.8;万达影视传媒有限公司;金依萌/潘安子/章家瑞/宋迪;郭采洁，萧敬腾，赵丽颖，凤小岳，夏雨，梅婷，蓝燕，林家栋，张译，大鹏，蒋劲夫，孙艺洲，张辛苑，阚清子，刘维，乔杉;喜剧/爱情/家庭;票房（万）6974.6 ;5.0 ;,,
489,2015-7-31,http://www.qiyi123.com/,让我们荡起双桨;小蓓蕾组合;90;儿歌,142.0,1382.34
490,2015-7-11,http://www.qiyi123.com/,来来回回;陈楚生&spy.c;90;伤感,203.0,1060.97
491,2015-12-25,http://www.movie.com/dor/,《分手再说我爱你》;2015.12.24;2016.1.17;爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司;叶念琛;方力申，邓丽欣;爱情、剧情;票房（万）1273.2 ;6.5 ;,,
492,2015-3-11,http://www.qudee.com/,拔萝卜;小蓓蕾组合;90;儿歌,208.0,332.16
493,2015-12-10,http://www.movie.com/dor/,《少年班》;2015.6.19;2015.7.19;工夫影业；华谊兄弟;肖洋;孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森;青春、校园、喜剧;票房（万）5068.7 ;5.7 ;,,
494,2015-4-3,http://www.99inf.com/,the climb;miley cyrus;80;励志,161.0,364.3
495,2015-3-2,http://beijing.faxinxi.cn/,my way;张敬轩;90;励志,202.0,1913.79
496,2015-12-6,http://www.movie.com/bor/12386／,《一念天堂》;2015.12.31;2016.2.13;天河盛宴，凯德盛世（北京）投资管理有限公司，和云筹(北京)网络科技有限公司;张承;沈腾，马丽，林雪，杜晓宇，王子子，李元鹏;喜剧;票房（万）8279.5 ;5.2 ;,,
497,2015-4-18,http://www.qiyi123.com/,给所有知道我名字的人;赵传;80;励志,201.0,1643.32
498,2015-3-14,http://bj.454.cn/,来来回回;陈楚生&spy.c;90;伤感,55.0,111.31
499,2015-7-27,http://www.denghuo.com/,永远不要说放弃;童安格;80;励志,99.0,1671.68
500,2015-7-3,http://www.jieu.com/,匿名的好友;杨丞琳;90;伤感,217.0,564.0
501,2015-4-6,http://www.denghuo.com/,来来回回;陈楚生&spy.c;90;伤感,109.0,1532.67
502,2015-8-19,http://bj.454.cn/,从头再来;刘欢;90;励志,181.0,1585.59
503,2015-4-28,http://www.010y.com/,firework;katy perry;90;励志,79.0,702.15
504,2015-7-28,http://www.wanxn.com/,屋顶;温岚;80;励志,250.0,1335.9
505,2015-3-12,http://www.99inf.com/,无悔这一生;beyond;80;励志,123.0,1860.15
506,2015-5-30,http://www.jieu.com/,加油;林俊杰/mc hotdog;90;励志,148.0,1052.08
507,2015-12-7,http://www.movie.com/bor/12386／,《爱之初体验》;2015.8.7;2015.8.23;上海锦瑟天下影视有限公司;海涛;张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦;喜剧/爱情;票房（万）321.7 ;4.7 ;,,
508,2015-4-9,http://www.99inf.com/,给所有知道我名字的人;赵传;80;励志,40.0,1209.76
509,2015-4-20,http://www.qudee.com/,爱让世界更美;童安格;90;励志,158.0,767.02
510,2015-8-19,http://www.alifenfen.com/,爱让世界更美;童安格;90;励志,273.0,1450.97
511,2015-8-22,http://bj.qu114.com/,同道中人;张国荣;80;励志,59.0,210.59
512,2015-3-12,http://bj.qu114.com/,给所有知道我名字的人;赵传;80;励志,28.0,1899.91
513,2015-12-23,http://www.movie.com/bor/,《爱之初体验》;2015.8.7;2015.8.23;上海锦瑟天下影视有限公司;海涛;张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦;喜剧/爱情;票房（万）321.7 ;4.7 ;,,
514,2015-7-11,http://www.99inf.com/,太阳星辰;张学友;80;励志,132.0,509.44
515,2015-12-1,http://www.movie.com/dor/,《将错就错》;2015.3.5;2015.3.29;中国电影股份有限公司等;王宁;小沈阳，田亮，陈小春，熊黛林;爱情、喜剧;票房（万）3937.4 ;3.8 ;,,
516,2015-12-12,http://www.movie.com/dor/,《闯入者》;2015.4.30;2015.5.24;冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团;王小帅;吕中，秦海璐，冯远征，秦昊，石榴;剧情、犯罪;票房（万）1003.6 ;7.6 ;,,
517,2015-7-23,http://bj.454.cn/,同道中人;张国荣;80;励志,199.0,827.27
518,2015-3-15,http://www.mouxiao.com/,拔萝卜;小蓓蕾组合;90;儿歌,152.0,1735.11
519,2015-3-21,http://www.99inf.com/,爱让世界更美;童安格;90;励志,136.0,443.64
520,2015-12-29,http://www.movie.com/bor/12386／,《紫霞》;2015.12.11;2015.12.27;映代码公司;苗述;徐洁儿，袁晓超，刘承俊，洪天照，刘永健，谭赫，肖红，金晶，谢沅江;爱情，奇幻;票房（万）49.1 ;2.4 ;,,
521,2015-4-30,http://www.favolist.com/,我心是海洋;蔡琴;80;励志,262.0,250.25
522,2015-3-31,http://bj.qu114.com/,像我一样骄傲;赵传;80;励志,165.0,605.12
523,2015-8-12,http://www.favolist.com/,firework;katy perry;90;励志,92.0,64.07
524,2015-8-5,http://www.yifawang.cn/,给所有知道我名字的人;赵传;80;励志,178.0,1863.94
525,2015-7-28,http://www.wanxn.com/,忘记拥抱;a-lin;80;伤感,95.0,1658.94
526,2015-12-9,http://www.movie.com/dor/,《百团大战》;2015.8.28;2015.10.11;八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司;宁海强，张玉中;陶泽如，刘之冰，印小天，吴越，唐国强，王伍福;战争/历史;票房（万）41367.3 ;4.7 ;,,
527,2015-6-5,http://www.ezxun.com/,像我一样骄傲;赵传;80;励志,165.0,1744.88
528,2015-3-29,http://www.jieu.com/,爱让世界更美;童安格;90;励志,274.0,1671.49
529,2015-3-3,http://bj.qu114.com/,加油;林俊杰/mc hotdog;90;励志,243.0,326.12
530,2015-6-25,http://www.99inf.com/,借我;谢春花;90;伤感,124.0,825.17
531,2015-5-6,http://www.wuhan58.com/index.php,一起走过的日子;刘德华;80;伤感,101.0,1863.7
532,2015-4-8,http://info.tianya.cn,the climb;miley cyrus;80;励志,101.0,1573.3
533,2015-6-25,http://www.mouxiao.com/,一起走过的日子;刘德华;80;伤感,270.0,1566.46
534,2015-5-13,http://www.wanxn.com/,一起走过的日子;刘德华;80;伤感,282.0,1284.73
535,2015-5-10,http://bj.454.cn/,来来回回;陈楚生&spy.c;90;伤感,129.0,1349.76
536,2015-4-23,http://www.qiyi123.com/,像我一样骄傲;赵传;80;励志,159.0,556.97
537,2015-8-24,http://www.qudee.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,157.0,1246.0
538,2015-7-4,http://www.99inf.com/,同道中人;张国荣;80;励志,60.0,637.01
539,2015-8-26,http://beijing.faxinxi.cn/,感恩的心;欧阳菲菲;90;励志,117.0,522.76
540,2015-7-14,http://www.wanxn.com/,一起走过的日子;刘德华;80;伤感,190.0,472.24
541,2015-12-17,http://www.movie.com/dor/,《坏蛋必须死》;2015.11.27;2015.12.20;北京新力量、华谊兄弟、南京大道行知;孙皓;陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民;喜剧，悬疑，旅行，爱情;票房（万）4705.4 ;6.0 ;,,
542,2015-8-19,http://www.wuhan58.com/index.php,像我一样骄傲;赵传;80;励志,219.0,771.69
543,2015-12-15,http://www.movie.com/bor/12386／,《前任2：备胎反击战》;2015.11.6;2015.12.20;华谊兄弟传媒股份有限公司、新圣堂影业;田羽生;郑恺，郭采洁，张艺兴，王传君;爱情，喜剧;票房（万）25200.2 ;5.0 ;,,
544,2015-6-25,http://www.wanxn.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,79.0,279.42
545,2015-5-21,http://www.yifawang.cn/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,209.0,1615.24
546,2015-6-13,http://www.wuhan58.com/index.php,光辉岁月;beyond;80;励志,253.0,62.3
547,2015-8-9,http://www.wuhan58.com/index.php,借我;谢春花;90;伤感,105.0,1155.53
548,2015-12-8,http://www.movie.com/dor/,《失孤》;2015.3.20;2015.5.3;华谊兄弟传媒集团、源合圣影视、映艺娱乐;彭三源;刘德华，井柏然，梁家辉，吴君如;剧情、社会;票房（万）21617.9 ;6.4 ;,,
549,2015-7-29,http://www.wuhan58.com/index.php,空壳;陈慧敏;90;伤感,46.0,982.91
550,2015-7-31,http://www.alifenfen.com/,无悔这一生;beyond;80;励志,251.0,1744.61
551,2015-8-29,http://www.mouxiao.com/,逃脱;李玟;90;伤感,113.0,1266.16
552,2015-7-17,http://www.apinpai.com/,光辉岁月;beyond;80;励志,179.0,605.18
553,2015-8-16,http://www.jieu.com/,逃脱;李玟;90;伤感,205.0,1200.24
554,2015-7-5,http://www.99inf.com/,数鸭子;少儿歌曲;90;儿歌,128.0,1765.45
555,2015-4-7,http://www.denghuo.com/,数鸭子;少儿歌曲;90;儿歌,9.0,354.2
556,2015-3-28,http://beijing.hand2hand.cn/,无悔这一生;beyond;80;励志,202.0,405.14
557,2015-12-30,http://www.movie.com/dor/,《坏蛋必须死》;2015.11.27;2015.12.20;北京新力量、华谊兄弟、南京大道行知;孙皓;陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民;喜剧，悬疑，旅行，爱情;票房（万）4705.4 ;6.0 ;,,
558,2015-12-1,http://www.movie.com/bor/,《破风》;2015.8.7;2015.9.13;恒大影视文化有限公司;林超贤;彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯;剧情、运动、爱情;票房（万）14529.1 ;7.2 ;,,
559,2015-12-6,http://www.movie.com/dor/,《怦然星动》;2015.12.3;2016.1.10;欢瑞世纪，嘉行传媒，青春光线;陈国辉;杨幂，李易峰，陈数，王耀庆，迪丽热巴，张云龙;都市，爱情，喜剧;票房（万）15973.9 ;4.3 ;,,
560,2015-12-16,http://www.movie.com/bor/,《闯入者》;2015.4.30;2015.5.24;冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团;王小帅;吕中，秦海璐，冯远征，秦昊，石榴;剧情、犯罪;票房（万）1003.6 ;7.6 ;,,
561,2015-4-7,http://beijing.faxinxi.cn/,来来回回;陈楚生&spy.c;90;伤感,265.0,158.09
562,2015-4-27,http://www.denghuo.com/,我心是海洋;蔡琴;80;励志,209.0,562.49
563,2015-6-1,http://www.yifawang.cn/,壮志雄心;李克勤;90;励志,78.0,945.77
564,2015-3-30,http://www.apinpai.com/,同道中人;张国荣;80;励志,55.0,200.74
565,2015-5-22,http://www.wanxn.com/,屋顶;温岚;80;励志,116.0,225.75
566,2015-5-17,http://www.waaku.com/,忘记拥抱;a-lin;80;伤感,36.0,1106.62
567,2015-8-17,http://beijing.faxinxi.cn/,来来回回;陈楚生&spy.c;90;伤感,249.0,1130.08
568,2015-8-28,http://bj.454.cn/,光辉岁月;beyond;80;励志,164.0,1759.17
569,2015-6-4,http://www.qudee.com/,来来回回;陈楚生&spy.c;90;伤感,127.0,54.78
570,2015-7-17,http://www.alifenfen.com/,像我一样骄傲;赵传;80;励志,236.0,1291.68
571,2015-5-2,http://www.yifawang.cn/,永远不要说放弃;童安格;80;励志,270.0,1796.79
572,2015-4-15,http://www.010y.com/,屋顶;温岚;80;励志,251.0,1680.31
573,2015-5-9,http://www.qudee.com/,感恩的心;欧阳菲菲;90;励志,112.0,237.64
574,2015-5-27,http://www.99inf.com/,从头再来;刘欢;90;励志,15.0,1275.2
575,2015-8-19,http://bj.qu114.com/,光辉岁月;beyond;80;励志,208.0,845.68
576,2015-5-27,http://www.qudee.com/,忘记拥抱;a-lin;80;伤感,29.0,1165.04
577,2015-12-5,http://www.movie.com/bor/,《少年班》;2015.6.19;2015.7.19;工夫影业；华谊兄弟;肖洋;孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森;青春、校园、喜剧;票房（万）5068.7 ;5.7 ;,,
578,2015-6-8,http://www.yifawang.cn/,借我;谢春花;90;伤感,269.0,997.93
579,2015-4-25,http://beijing.faxinxi.cn/,来来回回;陈楚生&spy.c;90;伤感,165.0,1764.46
580,2015-5-20,http://www.mouxiao.com/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,87.0,192.98
581,2015-3-10,http://bj.454.cn/,数鸭子;少儿歌曲;90;儿歌,289.0,1729.15
582,2015-12-6,http://www.movie.com/bor/12386／,《少年班》;2015.6.19;2015.7.19;工夫影业；华谊兄弟;肖洋;孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森;青春、校园、喜剧;票房（万）5068.7 ;5.7 ;,,
583,2015-6-16,http://beijing.hand2hand.cn/,忘记拥抱;a-lin;80;伤感,11.0,1223.6
584,2015-6-26,http://www.wanxn.com/,爱让世界更美;童安格;90;励志,67.0,1987.68
585,2015-12-24,http://www.movie.com/bor/,《百团大战》;2015.8.28;2015.10.11;八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司;宁海强，张玉中;陶泽如，刘之冰，印小天，吴越，唐国强，王伍福;战争/历史;票房（万）41367.3 ;4.7 ;,,
586,2015-12-9,http://www.movie.com/dor/,《闯入者》;2015.4.30;2015.5.24;冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团;王小帅;吕中，秦海璐，冯远征，秦昊，石榴;剧情、犯罪;票房（万）1003.6 ;7.6 ;,,
587,2015-12-27,http://www.movie.com/dor/,《闯入者》;2015.4.30;2015.5.24;冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团;王小帅;吕中，秦海璐，冯远征，秦昊，石榴;剧情、犯罪;票房（万）1003.6 ;7.6 ;,,
588,2015-3-28,http://www.ezxun.com/,逃脱;李玟;90;伤感,129.0,926.27
589,2015-7-28,http://beijing.hand2hand.cn/,我;张国荣;80;励志,50.0,209.16
590,2015-3-11,http://bj.454.cn/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,286.0,1301.08
591,2015-12-4,http://www.movie.com/bor/12386／,《失孤》;2015.3.20;2015.5.3;华谊兄弟传媒集团、源合圣影视、映艺娱乐;彭三源;刘德华，井柏然，梁家辉，吴君如;剧情、社会;票房（万）21617.9 ;6.4 ;,,
592,2015-12-14,http://www.movie.com/bor/,《简单爱》;2015.7.3;2015.7.19;中视合利（北京）文化投资有限公司一鸣影业公司（美国）;崔龄燕;许绍洋，张琳，谢雨芩，石铭熙;都市浪漫爱情喜剧;票房（万）21.7 ;,,
593,2015-7-6,http://beijing.hand2hand.cn/,爱让世界更美;童安格;90;励志,50.0,1055.45
594,2015-7-17,http://www.wuhan58.com/index.php,像我一样骄傲;赵传;80;励志,218.0,80.22
595,2015-5-22,http://www.favolist.com/,来来回回;陈楚生&spy.c;90;伤感,152.0,1887.73
596,2015-3-18,http://www.waaku.com/,story of my life;bon jovi;90;励志,129.0,646.26
597,2015-3-24,http://www.wanxn.com/,数鸭子;少儿歌曲;90;儿歌,267.0,348.71
598,2015-12-22,http://www.movie.com/dor/,《恶棍天使》;2015.12.24;2016.2.13;天津橙子映像传媒有限公司、北京光线影业有限公司;邓超、俞白眉;邓超，孙俪，梁超，代乐乐;喜剧/荒诞/爱情;票房（万）64959.0 ;4.0 ;,,
599,2015-7-30,http://www.010y.com/,空壳;陈慧敏;90;伤感,200.0,1583.55
600,2015-5-13,http://www.apinpai.com/,永远不要说放弃;童安格;80;励志,57.0,1230.82
601,2015-4-22,http://www.qiyi123.com/,爱让世界更美;童安格;90;励志,152.0,1866.05
602,2015-6-28,http://beijing.hand2hand.cn/,光辉岁月;beyond;80;励志,189.0,1865.91
603,2015-6-8,http://www.wuhan58.com/index.php,来来回回;陈楚生&spy.c;90;伤感,124.0,1121.11
604,2015-7-14,http://www.favolist.com/,借过;容祖儿;90;伤感,170.0,1141.43
605,2015-5-14,http://www.denghuo.com/,永远不要说放弃;童安格;80;励志,53.0,1417.37
606,2015-5-31,http://www.99inf.com/,屋顶;温岚;80;励志,104.0,130.62
607,2015-6-7,http://www.yifawang.cn/,my way;张敬轩;90;励志,70.0,1885.89
608,2015-5-23,http://www.qudee.com/,让我们荡起双桨;小蓓蕾组合;90;儿歌,233.0,1387.24
609,2015-5-6,http://www.ezxun.com/,太阳星辰;张学友;80;励志,279.0,214.62
610,2015-7-11,http://beijing.faxinxi.cn/,借过;容祖儿;90;伤感,119.0,498.12
611,2015-12-27,http://www.movie.com/bor/12386／,《百团大战》;2015.8.28;2015.10.11;八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司;宁海强，张玉中;陶泽如，刘之冰，印小天，吴越，唐国强，王伍福;战争/历史;票房（万）41367.3 ;4.7 ;,,
612,2015-7-11,http://www.yifawang.cn/,路...一直都在;陈奕迅;90;励志,250.0,1105.47
613,2015-12-11,http://www.movie.com/bor/12386／,《全能_爸》;2015.3.5;2015.3.22;河南弘星、北京弘星、杭州寰耀;董春泽;罗京民，孙波，于非，马燕，赵丽，卢思佚，米明杰，贾志;亲情励志喜剧;票房（万）83.0 ;,,
614,2015-5-3,http://www.waaku.com/,my way;张敬轩;90;励志,160.0,953.1
615,2015-4-16,http://www.alifenfen.com/,感恩的心;欧阳菲菲;90;励志,69.0,1312.97
616,2015-4-19,http://www.ezxun.com/,路...一直都在;陈奕迅;90;励志,244.0,1933.84
617,2015-5-18,http://www.wuhan58.com/index.php,匿名的好友;杨丞琳;90;伤感,252.0,613.89
618,2015-3-25,http://beijing.hand2hand.cn/,加油;林俊杰/mc hotdog;90;励志,140.0,1656.25
